Username,body,nonfl,money,humans,sad,past,Quant,anger,home,sexual,NEGEMO,inhib,family,space,filler,third_person,anx,negemo,number_words,swear,health,Numb,time,Affect,cause,friend,relig,number_classified_words,social,leisure,sensory,first_person,second_person,present,cognitive,POSEMO,work,ingest,motion,future,achieve,posemo,Openness,Extraversion,Neuroticism,Agreeableness,Conscientiousness
austinlugo1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.772325020112631,0.0,0.0,0.0,0.0,0.0,0.0,5.772325020112631,9944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.845132743362832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.072807723250201,0.0,0.0,0.0,0.0,0.0,4.072807723250201,0.021335065989847714,0.010676032632342269,-0.0038441914430746957,-0.01667530819434373,-0.0056969434372733906
KikiBeadles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5288310381688985,0.0,0.0,0.0,0.0,0.0,0.0,5.5288310381688985,63612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.911651889580583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.382820851411683,0.0,0.0,0.0,0.0,0.0,4.382820851411683,0.05018003830288732,0.011755565900608923,-0.010596397957179322,-0.010358959143586723,-0.004089450991946569
ProdigySteve23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,6.329113924050633,4187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.768330546930978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.439216622880344,0.0,0.0,0.0,0.0,0.0,3.439216622880344,0.01795070515463918,0.011064362886597937,-0.007626878350515467,-0.019837901030927845,-0.008715428865979381
erikaromanos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.683060109289618,0.0,0.0,0.0,0.0,0.0,0.0,5.683060109289618,20130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.985096870342772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.302036761053155,0.0,0.0,0.0,0.0,0.0,4.302036761053155,0.027070329485329437,0.012567357383357397,-0.009062482924482928,-0.006207649350649352,-0.0008838888888888882
It_sCinaa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.514680758980433,0.0,0.0,0.0,0.0,0.0,0.0,5.514680758980433,43901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.885902371244391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3712216122639576,0.0,0.0,0.0,0.0,0.0,3.3712216122639576,0.031853163400294135,0.005924988241058363,-0.007049656295933354,-0.01646228000979907,-0.006273404213620764
Dswain_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45836239363928,0.0,0.0,0.0,0.0,0.0,0.0,6.45836239363928,21507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.666620170177152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2082577765378715,0.0,0.0,0.0,0.0,0.0,3.2082577765378715,0.018428859768549993,0.011173702178352651,-0.007280010211027902,-0.02062489823008842,-0.00783616609938733
adoreshayyyy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.289156626506024,0.0,0.0,0.0,0.0,0.0,0.0,8.289156626506024,8300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.662650602409638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.373493975903615,0.0,0.0,0.0,0.0,0.0,4.373493975903615,0.039675235138705404,0.011962540290620877,-0.009699385733157196,-0.02090659048877147,-0.004703702774108322
sydraenielsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.991838113697388,0.0,0.0,0.0,0.0,0.0,0.0,6.991838113697388,56237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.656489499795509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.664651386098121,0.0,0.0,0.0,0.0,0.0,6.664651386098121,0.027500321527012164,0.011607409178610846,-0.010571612320837923,-0.009020363561190698,-0.004684703280044101
lollykemblowski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.918755163866703,0.0,0.0,0.0,0.0,0.0,0.0,4.918755163866703,18155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.079867805012393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16111264114569,0.0,0.0,0.0,0.0,0.0,5.16111264114569,0.009670733854520698,0.011420463630183566,-0.0029889843643779767,-0.0006874592114208069,-0.00033061318830727385
KQuail8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.846401242098259,0.0,0.0,0.0,0.0,0.0,0.0,4.846401242098259,9017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.025507374958412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.179106132860153,0.0,0.0,0.0,0.0,0.0,5.179106132860153,0.037243022959183664,0.016852408163265303,-0.007909793367346946,-0.006920727040816333,-0.0006542920918367349
PeteWoytowich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7684450714214135,0.0,0.0,0.0,0.0,0.0,0.0,5.7684450714214135,129723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.316774974368462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5483299029470485,0.0,0.0,0.0,0.0,0.0,3.5483299029470485,0.02188509764503152,0.014439903862722491,-0.00979041829408396,-0.018867556720275538,-0.009021388569787396
TannerGotTweets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.101421344254397,0.0,0.0,0.0,0.0,0.0,0.0,4.101421344254397,16604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.046253914719344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.944832570464948,0.0,0.0,0.0,0.0,0.0,3.944832570464948,0.02307982978723401,0.008774137330754361,-0.0016668496131528074,0.0004599298839458411,0.0016578931334622826
damonburtjr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2349726775956285,0.0,0.0,0.0,0.0,0.0,0.0,4.2349726775956285,24156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.279516476237788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0445437986421595,0.0,0.0,0.0,0.0,0.0,4.0445437986421595,0.013896839117859697,0.012446827187274054,-0.000266127621113521,-0.005965155820679674,-0.0009960939985538683
AlexisFreas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.470892048715169,0.0,0.0,0.0,0.0,0.0,0.0,5.470892048715169,15683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.061850411273353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.590958362558184,0.0,0.0,0.0,0.0,0.0,4.590958362558184,0.015192372162485044,0.013959227598566304,-0.006401866786140978,-0.007453418160095585,-0.0034973793309438497
