Username,body,nonfl,money,humans,sad,past,Quant,anger,home,sexual,NEGEMO,inhib,family,space,filler,third_person,anx,negemo,number_words,swear,health,Numb,time,Affect,cause,friend,relig,number_classified_words,social,leisure,sensory,first_person,second_person,present,cognitive,POSEMO,work,ingest,motion,future,achieve,posemo,Openness,Extraversion,Neuroticism,Agreeableness,Conscientiousness
Kashh263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.114297419090537,0.0,0.0,0.0,0.0,0.0,0.0,6.114297419090537,9764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.105694387546087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.991396968455551,0.0,0.0,0.0,0.0,0.0,5.991396968455551,0.01434119984264358,0.022645254130605846,-0.007175345397324941,-0.004753839496459496,-0.0026491337529504335
gia_d_davoli63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.358603721359373,0.0,0.0,0.0,0.0,0.0,0.0,6.358603721359373,13006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86513916653852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.506535445179148,0.0,0.0,0.0,0.0,0.0,2.506535445179148,0.02518169844357976,0.01034714007782101,-0.008428264591439688,-0.020200303501945533,-0.007309754863813226
AlyBelknap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8865304190010255,0.0,0.0,0.0,0.0,0.0,0.0,5.8865304190010255,25346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.812199163576107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.925668744575081,0.0,0.0,0.0,0.0,0.0,3.925668744575081,0.025854131567706037,0.00674504228961982,-0.010483516873131126,-0.015400251174711665,-0.007947590773173849
DanielleAnne_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.681681521172682,0.0,0.0,0.0,0.0,0.0,0.0,5.681681521172682,74837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100124270080308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.418442748907626,0.0,0.0,0.0,0.0,0.0,5.418442748907626,0.026271017602939026,0.02059927766722792,-0.006334191795499753,-0.01089468988213683,-9.446578907087106e-05
JustRiqu3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83596214511041,0.0,0.0,0.0,0.0,0.0,0.0,5.83596214511041,15216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.851472134595163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.015509989484753,0.0,0.0,0.0,0.0,0.0,4.015509989484753,-0.011522304265997487,0.029220180677540744,-0.0063695978670012515,-0.03119125282308653,-0.012103191969887076
DEFENSIVE_BACK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.850013337536678,0.0,0.0,0.0,0.0,0.0,0.0,4.850013337536678,41237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.292625554720276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.442612217183597,0.0,0.0,0.0,0.0,0.0,4.442612217183597,0.014271297005765283,0.011737040171099104,-0.0013817785010228766,-0.0043377115491909845,0.0004697323786498049
lizsmith2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57758923640745,0.0,0.0,0.0,0.0,0.0,0.0,5.57758923640745,19919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.407148953260705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.829559716853256,0.0,0.0,0.0,0.0,0.0,4.829559716853256,0.028934449064449013,0.007822427442827448,-0.006042525155925157,-0.004444233264033266,-0.0021228528066528094
Sequin344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.673068129858254,0.0,0.0,0.0,0.0,0.0,0.0,4.673068129858254,21870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.707361682670324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.034293552812072,0.0,0.0,0.0,0.0,0.0,5.034293552812072,0.03454686009292715,0.013483072276716593,-0.006012225606608157,0.0010789132679401142,0.005300607640681466
brianabosworth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.343349928876244,0.0,0.0,0.0,0.0,0.0,0.0,6.343349928876244,22496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.712837837837839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.369487908961593,0.0,0.0,0.0,0.0,0.0,3.369487908961593,0.03653446998031495,0.015724574311023646,-0.010801693897637797,-0.012974708661417325,-0.0021259000984251964
ChrisDees15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18957064329223,0.0,0.0,0.0,0.0,0.0,0.0,4.18957064329223,6731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.924231169217055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.734660525924825,0.0,0.0,0.0,0.0,0.0,5.734660525924825,0.01274630243337196,0.012405863267670916,0.001425091541135574,0.0020543719582850435,0.005389444959443799
