Username,body,nonfl,money,humans,sad,past,Quant,anger,home,sexual,NEGEMO,inhib,family,space,filler,third_person,anx,negemo,number_words,swear,health,Numb,time,Affect,cause,friend,relig,number_classified_words,social,leisure,sensory,first_person,second_person,present,cognitive,POSEMO,work,ingest,motion,future,achieve,posemo,Openness,Extraversion,Neuroticism,Agreeableness,Conscientiousness
gia_d_davoli63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.358603721359373,0.0,0.0,0.0,0.0,0.0,0.0,6.358603721359373,13006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86513916653852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.506535445179148,0.0,0.0,0.0,0.0,0.0,2.506535445179148,0.02518169844357976,0.01034714007782101,-0.008428264591439688,-0.020200303501945533,-0.007309754863813226
AlyBelknap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8865304190010255,0.0,0.0,0.0,0.0,0.0,0.0,5.8865304190010255,25346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.812199163576107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.925668744575081,0.0,0.0,0.0,0.0,0.0,3.925668744575081,0.025854131567706037,0.00674504228961982,-0.010483516873131126,-0.015400251174711665,-0.007947590773173849
DanielleAnne_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.681681521172682,0.0,0.0,0.0,0.0,0.0,0.0,5.681681521172682,74837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100124270080308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.418442748907626,0.0,0.0,0.0,0.0,0.0,5.418442748907626,0.026271017602939026,0.02059927766722792,-0.006334191795499753,-0.01089468988213683,-9.446578907087106e-05
lizsmith2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57758923640745,0.0,0.0,0.0,0.0,0.0,0.0,5.57758923640745,19919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.407148953260705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.829559716853256,0.0,0.0,0.0,0.0,0.0,4.829559716853256,0.028934449064449013,0.007822427442827448,-0.006042525155925157,-0.004444233264033266,-0.0021228528066528094
brianabosworth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.343349928876244,0.0,0.0,0.0,0.0,0.0,0.0,6.343349928876244,22496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.712837837837839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.369487908961593,0.0,0.0,0.0,0.0,0.0,3.369487908961593,0.03653446998031495,0.015724574311023646,-0.010801693897637797,-0.012974708661417325,-0.0021259000984251964
jesssieallen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.883495145631068,0.0,0.0,0.0,0.0,0.0,0.0,3.883495145631068,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.271844660194176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.388349514563107,0.0,0.0,0.0,0.0,0.0,20.388349514563107,0.008329634408602151,0.017047569892473115,-0.003194139784946237,0.02934736559139785,0.03363612903225805
jackharper14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.368143031288095,0.0,0.0,0.0,0.0,0.0,0.0,4.368143031288095,9844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.396586753352295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0284437220642015,0.0,0.0,0.0,0.0,0.0,5.0284437220642015,0.007670565252854813,0.007043894779771611,-0.0038257259380097917,-0.009331494290375204,-0.0019498156606851552
SyracuseFirst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0423452768729642,0.0,0.0,0.0,0.0,0.0,0.0,1.0423452768729642,3070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.058631921824104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01628664495114,0.0,0.0,0.0,0.0,0.0,5.01628664495114,0.014398276785714292,0.007577870535714285,0.0016380714285714284,0.014344308035714284,0.017026013392857146
Viclovesracing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4416775884665793,0.0,0.0,0.0,0.0,0.0,0.0,1.4416775884665793,1526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.667103538663172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.225425950196592,0.0,0.0,0.0,0.0,0.0,6.225425950196592,0.01630153947368421,0.008680407894736841,0.0025819210526315793,0.005251605263157893,0.01356411842105263
Briannainclema,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2313167259786475,0.0,0.0,0.0,0.0,0.0,0.0,5.2313167259786475,11240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.946619217081851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.715302491103203,0.0,0.0,0.0,0.0,0.0,4.715302491103203,0.027026439625850367,0.018497226190476213,-0.006473257653061223,-0.005252224489795923,0.002383628401360543
