ID,Tweet,Rinkesh_Label,Homan_Label,AMW_Label,Amen_Label,Litchi_Label
3.51797581699e+17,i 've had no appetite lately 😒 <hashtag> wtf,n,,,,
4.60243324135e+17,shoutout to for the clothing donations <smile> 👕 👖,y,y,y,y,n
3.51552493429e+17,we won <number> in a row boii watch out for us we a force hahahhahahaha yea force my ass! <repeat> but hold on i'm showering,n,,,,
3.51551781274e+17,the worst. thank you haha!,y,,,,
4.05002666541e+17,how weird i literally thought of you when i typed that ! <repeat> thanks boo <heart>,y,,,,y
3.51553947251e+17,harry with a friend last night! http<neutralface>/t.co/azpgxhvm<number>iwhat is this. he is mine. <smile> 😳,y,,,,
4.0974908225e+17,this is the kind of game we need tickets to,m,,,,
3.51550973061e+17,its scary rt ladies: why do you run from good men? i'll wait,n,,,,
3.51552151237e+17,moschino might just be my favorite label,y,,,,
4.79072007587e+17,shoutout to the man who made adderall,y,,,,
3.51943571513e+17,hahah i guess that's a good reliever too - but hey at least kick boxing won't give you a criminal record 😉 <heart>,n,,,,
4.49187874723e+17,thank you,y,,,,y
4.52341750704e+17,https<neutralface>/t.co/fzaxu<number>waa checkout my remix to all that matters by <hashtag> loyalgang shoutout to dem <hashtag> beliebers,n,n,n,n,y
4.61699748031e+17,i see how you are scar 👀,n,,,,
4.09872608906e+17,thanks bud! <repeat> took a little improvising but i think it came out well! <repeat>,y,,,n,y
4.34168061177e+17,faggot,n,,,,
3.99589605962e+17,thank you! come to my dads more often,y,,,,y
4.41808864376e+17,<number>! <repeat> since hey pretty girl- kip moore is playing s/o to the girl that caught my eye <smile> <heart>,y,,,,
4.06676788266e+17,i give mad respect to everyone that fights for our country. <hashtag> thankyou <hashtag> merica 🇺 🇸,y,,,,
3.51563289127e+17,<number> what's your emergency?,n,,,,
4.68549911727e+17,lmao 😶 😶u don't know that,n,,,,n
3.51553889331e+17,congratulations 😜 i don't remember the last time i stayed up that long 😳,y,,,,
3.51561531349e+17,and i'm not sure what sense to take that in,n,,,,
3.68569982839e+17,"<hashtag> nowplaying – blessed [original club mix] by edx, from <hashtag> soundhound http<neutralface>/t.co/pjd<number>yd<number>l <hashtag> edx <hashtag> love <hashtag> keepemcoming",n,,,,
3.51554545388e+17,you are usually sleeping around this time-_- why aren't you,n,,,,
3.51561331998e+17,that's grimy af <lolface>,n,,,,
3.51560887725e+17,story tonight or nah? preach,n,,,,
3.78895377309e+17,frank the tank coming thru. how did i get so ever blessed who's dick did i have to suck,y,,,,
3.68397844845e+17,as long as your have good health and respect yourself and decisions. nothing else matters. wise words of grandpa bob,y,,,,
4.28148798981e+17,this is where i am right now. og shit wegmans http<neutralface>/t.co/d<number>am<number>jhn<number>v,y,,,,
4.50327470592e+17,$<number> og inflicts <hashtag> wootwoot http<neutralface>/t.co/t<number>c<number>tu<number>,n,,,,n
3.51554076787e+17,"was thinking more of cosplay , sorry",n,,,,
3.76071495045e+17,and leave us with those who are so unappreciative of the life they have been blessed with. it's just not fair.,n,,,,
3.55362403095e+17,"the difference between a loser and a winner is, a winner will keep losing until they win a loser just gives up. <repeat>",n,,,,
3.51555585047e+17,just now getting out of work on a sunday 👎 👎,n,,,,
3.51551366533e+17,watching a show about a prison in <number>i'll be <number> in that year. <repeat>weird af to think about,n,,,,
4.63884059979e+17,wtf it's literally the hardest shit i 've done. i tried it over a summer and i gained a lot of respect,n,,,,n
3.68495814731e+17,shoutout to :d,y,,,,
3.51556207012e+17,chips and salsa is the perfect midnight snack,y,,,,
4.41126852641e+17,if i started smoking blacks i'll lose so much respect for myself but the way i heard they make you feel when too much be on ya mind. <repeat> 💁,n,,,,n
4.43364754464e+17,s/o ed joiner coming to class like once ever,n,,,,n
3.62420235129e+17,"rt<user>: lol, you lost all respect from me.",n,N,n,n,n
4.48888584885e+17,<hashtag> pizza <hashtag> props <hashtag> consierge <hashtag> phil <hashtag> snell <hashtag> easter <hashtag> powerlunch <hashtag> hashstatus pontillo's pizzeria http<neutralface>/t.co/okest<number>zfp<number>,n,,,,n
4.37771987701e+17,mr y is the man mr y &gt&gt&gt&gteverybody else,y,,,,m
3.51563531927e+17,why doesn't anyone like me.,n,,,,
3.51554183252e+17,my phone just fell on my face 😒 <hashtag> hatethatshit,n,,,,
3.51557101254e+17,stfu,n,,,,
4.03582437488e+17,this guy haha http<neutralface>/t.co/y<number>fpwwk<number>up,m,,,,
3.51561097029e+17,"still tho, $<number> that should be spent on some other shit",n,,,,
3.51761761286e+17,took me almost a week<number> is impossible,n,N,n,n,n
3.5716601933e+17,nothing could hold us back! we only hope that you absorbed as much love as we did at hershey <hashtag> narniagatherings <hashtag> muchlove,y,,,,
4.3085154212e+17,<hashtag> shoutout to my new follower everyone <hashtag> followandgain,y,,,,
3.78354708437e+17,throwing this tweet out there for one of my top girls to make her smile.give respect = get respect. someone forgot that rule! <heart>,y,,,,y
3.51560247498e+17,sometimes i feel like there's nothing left 😒,n,,,,
3.80134180485e+17,season <number> is about to start so that's really cool <hashtag> blessed,y,,,,m
3.51551846169e+17,lol okay <elong>,n,,,,
3.62047073564e+17,shes my drive to make it big to keep going when i cant anymore preach rt,y,Y,y,y,m
4.76862313573e+17,"just blessed the people ""why we get quiet when it comes to $$ &amp sex u know want some. <repeat>"" lol yess <hashtag> ileadus",y,,,,
4.28239070574e+17,"big s/o to the brother ""the revolution will be televised""",y,,,,m
4.10199961805e+17,so blessed to be back squatting again. a part of me was truly missing.,y,Y,y,y,y
3.51555989738e+17,it certainly does. <sadface>,n,,,,
3.93569122111e+17,aw <elong> but through all that you still manage to end with a smile! <repeat><smile> much love xo,y,,,,
