ID,Tweet,Rinkesh_Label,Homan_Label,AMW_Label,Amen_Label,Litchi_Label
3.51564185345e+17,i'm not living in the dorms.,n,,,,
3.51560854032e+17,everything that glitters isn't gold,n,,,,
3.51560315425e+17,i love more than life itself!,y,,,,
3.51563991887e+17,i'm trying so hard but i just can't sleep no matter what and its making me miserable,n,,,,
3.61933417296e+17,you look good without a shirt on.,y,,,,
4.63509423819e+17,"the hardest thing to say sometimes, but it's the truth-blessed even on my bad days. nice reminder sent from my daddy http<neutralface>/t.co/vdioee<number>d<number>x",y,,,,
3.64709468887e+17,this world could use a lot more positivity and respect.,n,,,,
4.0181183579e+17,thanks dan i am blessed,y,,,,
3.51559915401e+17,i hate working. <repeat>,n,,,,
4.30815777177e+17,have you seen this? http<neutralface>/t.co/qtfgnbfbkg,n,,,,
3.52256864073e+17,sir,n,,,,m
3.51671584073e+17,hahaha boyset.,n,,,,m
3.51564587013e+17,u a good girl? 😜,n,,,,
4.07226690982e+17,lost respect for a lot of people this year,n,N,n,n,n
3.70911479434e+17,i'll let y'all know. i'll be at work so hopefully i'll be out soon,n,,,,
3.51557443891e+17,wow,y,,,,
3.51562011752e+17,you have no idea how good it feels to be in my own bed after sleeping in hotels for the past <number> nights,y,,,,
3.51553192519e+17,"yeah <neutralface> i thought five days would be good but no, that went by super quick",n,,,,
4.51785981893e+17,ugh miss you linds! <repeat> thanks so much love you 💙 <heart> 🎉 🎈,y,,,,
3.515583692e+17,yes we were ! <repeat> 💋❤ <smile> 👅 💦☔ 👉 👌,y,,,,
4.31062926171e+17,i wanted mrs.linn for contemporary lit.,y,N,y,y,n
3.51562435679e+17,love you exboyfriend <elong> &lt<number> &lt<number>,y,,,,
4.37372289538e+17,love the sophmoreees 😻<user>,y,Y,y,y,y
4.134629317e+17,everything is going to be okay ❤️,y,Y,y,y,y
3.51555904103e+17,your going into the navy?,n,,,,
4.41266791873e+17,shoutout for shoutout? :),n,Y,m,m,n
3.51556031451e+17,you're welcome!,y,,,,
3.87812856773e+17,"keep it real with me, that's all i ask for <smile> <smile>",n,,,,
3.69892367421e+17,you are not fat i mean if you think you are we can trade bodies plz and thx,y,,,,y
3.51557879583e+17,"my mom and stepdad are looking at new houses, but he said that it has to have a finished basement so i can have people over <smile> 👌 <hashtag> helovesme",y,,,,
4.09707705936e+17,aww! james taylor is the man! <repeat>,y,,,,
3.51562985892e+17,"cause i 've been doin' fine without you, forgettin all the love we once knew. <hashtag> ladyantebellum ❤ <hashtag> lovedontlivehereanymore",y,,,,
4.51207670159e+17,kayden and i are about to turn up our mom gone for the night it's lit lmfao we both just woke up too,n,,,,
4.37783962795e+17,"oooh <elong>, you gno me. <repeat>",n,N,m,n,n
3.64139641614e+17,very excited to preach tonight <hashtag> loosechange <hashtag> churchinthedungeon,n,,,,
4.01894022849e+17,"""send me a pic"" is where a girl loses all respect for you",n,,,,
3.5247390452e+17,it was pretty damn good though,m,,,,
3.63174017089e+17,i thank god each night and twice on sunday,y,Y,y,y,y
4.11128797048e+17,&lt----------- nailed it.,n,,,n,m
3.66600121632e+17,allendale,n,N,n,n,n
4.08354627806e+17,thnx cyz,y,Y,y,y,y
4.45673909481e+17,preach.,y,,,,
3.51550979172e+17,i know you're jealous! <repeat>,n,,,,
3.81905660227e+17,s/o to my girl for committing to a top <number> field hockey program! <repeat> boston university is lucky to have you! you're amazing girl! ❤️ <heart>,y,,,,y
3.80165056053e+17,"so true! ugh almost three weeks, so excited!",n,,,,
4.18110808821e+17,<number> thank you! and i love your tweets rock on,y,Y,y,y,y
3.57182202368e+17,a very happy birthday to hoping you are blessed with a naked birthday sighting of caleb your neighbor 🙏 💜 💋 🍻 🎉 love ya,y,Y,y,y,y
3.51562656224e+17,<neutralface>rt smh rt black girls cheat the most only if you not doin ya job . most still hoes to tho,n,,,,
3.51552303599e+17,😉,y,,,,
3.63379854425e+17,no respect for animals anymore we'll you're fucked up <number>%,n,,,n,n
3.75436262402e+17,the feeling is mutual my dear frenemie.,m,m,m,m,m
4.10938355183e+17,hahaha dave is the man,y,,,,
3.51551941077e+17,you thought biiiittcch <elong>,n,,,,
3.51594668284e+17,"stuck at <number>nd, lookin to be <number>st",n,,,n,n
3.71328710781e+17,i feel you girl 👏 go ahead and preach! <repeat> you already ✊✊✊,y,Y,y,y,y
3.91252955594e+17,man god blessed me,n,,,,
4.1026972826e+17,does anyone have some juice i could have thanks.,n,,,,
3.51552800037e+17,so much to do so little timee 🇮 🇹,n,,,,
3.51557458957e+17,i dont need any distractions,n,,,,
3.59896041027e+17,just watched it <hashtag> respect,y,,,,
3.59499502136e+17,just my feelings today lol. but thanks.,y,,,,y
3.51563610625e+17,bucknel,n,,,,
3.6376306641e+17,"everyone take your asses from seabreeze, thanks <smile>",y,,,,
3.51562766094e+17,home away from home (@ the del monte lodge renaissance rochester hotel &amp spa - http<neutralface>/t.co/h<number>pjxgsm<number>e,n,,,,
3.51562032527e+17,lol when people tweet and not text back,n,,,,
3.51557742236e+17,<hashtag> oomf &gt&gt&gt&gt&gt&gt&gt,y,,,,
3.87652966847e+17,shoutout to mozzarella sticks this is pretty much the life of hahaha,y,,,,
4.28678080954e+17,aw <elong> thank you so much! yes it is very hard :) so blessed though to have spoken with him :),y,,,,
3.51564589072e+17,god you piss me off.,n,,,,
3.77448661082e+17,i love talking to my friend she is the sweetest girl in the world. she always treats me with respect. love ya lucy.,y,My,y,y,y
3.51564571997e+17,prolly 🔨,n,,,,
4.53694496833e+17,cause harry potter is the shit! <repeat> lol someone else share ya <elong> passion,n,,,,n
3.51858952155e+17,your boy has had his license for quite a few years now. like don't drag me somewhere i'm not supposed to be.,n,,,,n
4.13197914707e+17,nyasha and mike <hashtag> blessed <hashtag> soulsisters <hashtag> mishemangled<number>,y,,,,
4.00841618855e+17,thank you for sitting through my tattoo with me <heart> ilysm bestfriend.,y,,,,
3.57325378991e+17,i think i'm just lit yo lmfao,y,,,,
3.51557926387e+17,you know you were not serious.,n,,,,
3.51551980554e+17,shit were you at? on midland wassup,n,,,,
3.51564261325e+17,oh goodness who ley me do thid,n,,,,
3.63513690404e+17,"i suffocate when you're away from me, so much love you take from me. i'm going out of my mind",n,,,,
3.5216977378e+17,yes thank god,y,M,y,y,y
3.86852845788e+17,thank god i woke up,y,,,,
3.51554102276e+17,nigga i feel like i'm in a movie. like i'm so high i feel like i'm jus watching shit. - archie hahaha my main nigga riiiight there. <hashtag> looove,y,,,,
3.51559077715e+17,used to talk to nic everyday she fell off man <elong>,n,,,,
3.51551232605e+17,"rt ""<user>: <hashtag> mentionablackqueen"" (momma leezy",n,,,,
4.45720333363e+17,you’d think that after all these niggas were raised by single moms they’d learn to respect women <lolface>,n,,,,
3.52533968681e+17,can i buy back that hour? <hashtag> timeismoney,n,,,,
3.51916213142e+17,"babe rolled over in his sleep last night, looked at me and said ""i'll explain everything later"" then went back to sleep <lolface> <hashtag> what ?",n,,,,n
3.51554260771e+17,ali is the slowest human being,n,,,,
3.51562621566e+17,well i'm a girl! i'm very sensitive ! <repeat> 🙈,n,,,,
4.53488076821e+17,http<neutralface>/t.co/tqofafxwp<number> http<neutralface>/t.co/vkxge<number>ajtr,n,,,,n
3.70675326894e+17,thanks god. <repeat> finally i get rochester <smile><smile> (at greater rochester international airport (roc)) — https<neutralface>/t.co/qnekmlxxl<number>,y,M,n,n,y
4.80387142943e+17,s/o to my homie good looks,y,,,,y
